label,book1,author1,book2,author2,id
1,"a query language for multidimensional arrays : design , implementation , and optimization techniques","limsoon wong , rona machlin , leonid libkin","a query language for multidimensional arrays : design , implementation , and optimization techniques","leonid libkin , rona machlin , limsoon wong",1189_1969
1,comprehension syntax,"limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin",comprehension syntax,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",331_1701
0,buffering accesses to memory-resident index structures,"jingren zhou , kenneth a. ross",efficient index structures for string databases,"tamer kahveci , ambuj k. singh",2031_1408
0,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",revisiting commit processing in distributed database systems,"ramesh gupta , jayant haritsa , krithi ramamritham",1496_1831
0,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",a scalable architecture for autonomous heterogeneous database interactions,"steven milliner , athman bouguettaya , mike p. papazoglou",135_1441
0,mining system audit data : opportunities and challenges,"wei fan , wenke lee",amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,"amit sheth , robert meersman",1656_910
0,sit-in : a real-life spatio-temporal information system,"stefano de francisci , rossella molinaro , orietta gargano , mario paolucci , leonardo tininini , giuseppe sindoni , paola patteri , amedea ambrosetti , pina ticca , cristina bedeschi",environmental information systems,oliver g &#252; nther,1475_1909
0,partial results for online query processing,"joseph m. hellerstein , vijayshankar raman",sequence query processing,"praveen seshadri , miron livny , raghu ramakrishnan",1690_1640
1,beyond market baskets : generalizing association rules to correlations,"rajeev motwani , sergey brin , craig silverstein",beyond market baskets : generalizing association rules to correlations,"sergey brin , rajeev motwani , craig silverstein",424_1813
0,tracing the lineage of view data in a warehousing environment,"janet l. wiener , yingwei cui , jennifer widom",lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",2562_1409
0,editorial,"peter m. g. apers , stefano ceri , richard t. snodgrass",editorial,richard snodgrass,1086_342
0,mining fuzzy association rules in databases,"ada wai-chee fu , man hon wong , chan man kuok",a new sql-like operator for mining association rules,"rosa meo , giuseppe psaila , stefano ceri",2313_1042
0,query optimization in the presence of limited access patterns,"dan suciu , ioana manolescu , daniela florescu , alon y. levy",minimization of tree pattern queries,"sihem amer-yahia , sungran cho , laks v. s. lakshmanan , divesh srivastava",817_256
0,query optimization for selections using bitmaps,ming-chuan wu,query optimization in compressed database systems,"zhiyuan chen , johannes gehrke , flip korn",385_304
0,reminiscences on influential papers,"christos h. papadimitriou , anant jhingran , yannis e. ioannidis , kenneth a. ross",reminiscences on influential papers,kenneth a. ross,1645_927
1,user-defined table operators : enhancing extensibility for ordbms,"bernhard mitschang , michael jaedicke",user-defined table operators : enhancing extensibility for ordbms,"michael jaedicke , bernhard mitschang",774_826
0,distance browsing in spatial databases,"hanan samet , gísli r. hjaltason",selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",1717_220
0,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu",describing and using query capabilities of heterogeneous sources,"vasilis vassalos , yannis papakonstantinou",1228_1083
0,index configuration in object-oriented databases,elisa bertino,a cost model for clustered object-oriented databases,"georges gardarin , jean-robert gruser , zhao-hui tang",644_1479
0,reminiscences on influential papers,"z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens",influential papers,ken ross,1160_526
0,reminiscences on influential papers,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",reminiscences on influential papers,richard snodgrass,2601_226
1,filtering with approximate predicates,"hector garcia-molina , narayanan shivakumar , chandra chekuri",filtering with approximate predicates,"narayanan shivakumar , hector garcia-molina , chandra chekuri",2416_976
0,sql query optimization : reordering for a general class of queries,"piyush goel , balakrishna r. iyer",probabilistic optimization of top n queries,"donko donjerkovic , raghu ramakrishnan",2037_817
1,hierarchical compact cube for range-max queries,"hua-gang li , sin yeung lee , tok wang ling",hierarchical compact cube for range-max queries,"sin yeung lee , tok wang ling , hua-gang li",441_1363
0,index configuration in object-oriented databases,elisa bertino,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",644_1254
0,further improvements on integrity constraint checking for stratifiable deductive databases,"sin yeung lee , tok wang ling",implementing deductive databases by mixed integer programming,"colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",2185_1946
0,hierarchical prefix cubes for range-sum queries,"chee yong chan , yannis e. ioannidis",dynamic update cube for range-sum queries,"seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee",107_1334
0,hypergraph based reorderings of outer join queries with complex predicates,"gautam bhargava , balakrishna r. iyer , piyush goel",factorizing complex predicates in queries to exploit indexes,"surajit chaudhuri , prasanna ganesan , sunita sarawagi",2414_2045
0,the aditi deductive database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",space optimization in deductive databases,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",229_1609
0,static detection of security flaws in object-oriented databases,keishi tajima,unisql/x unified relational and object-oriented database system,won kim,1985_1630
0,strudel : a web-site management system,"alon y. levy , mary f. fernandez , jaewoo kang , daniela florescu , dan suciu",using the calanda time series management system,"werner dreyer , angelika kotz dittrich , duri schmidt",688_1938
0,tree pattern query minimization,"divesh srivastava , sungran cho , laks v. s. lakshmanan , sihem amer-yahia",efficient algorithms for minimizing tree pattern queries,prakash ramanan,175_680
0,implementation of magic-sets in a relational database system,"inderpal singh mumick , hamid pirahesh",on efficiently implementing schemasql on an sql database system,"laks v. s. lakshmanan , fereidoon sadri , subbu n. subramanian",341_822
0,"a robust , optimization-based approach for approximate answering of aggregate queries","vivek r. narasayya , gautam das , surajit chaudhuri",the aqua approximate query answering system,"swarup acharya , phillip b. gibbons , viswanath poosala , sridhar ramaswamy",1530_26
0,selectivity estimation for spatio-temporal queries to moving objects,"yong-jin choi , chin-wan chung",selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",1511_220
0,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",integrating modelling systems for environmental management information systems,"david j. abel , kerry taylor , dean kun",690_1906
0,vist : a dynamic index method for querying xml data by tree structures,"wei fan , sanghyun park , philip s. yu , haixun wang",efficient index structures for string databases,"tamer kahveci , ambuj k. singh",1927_1408
0,foundations of preferences in database systems,werner kießling,secure buffering in firm real-time database systems,"binto george , jayant r. haritsa",2162_1225
1,towards automated performance tuning for complex workloads,"michael j. carey , manish mehta , miron livny , kurt p. brown",towards automated performance tuning for complex workloads,"kurt p. brown , manish mehta , michael j. carey , miron livny",1115_1425
0,book review column,karl aberer,book reviews,karl aberer,1380_745
0,groupwise processing of relational queries,"kenneth a. ross , damianos chatziantoniou",cache conscious algorithms for relational query processing,"ambuj shatdal , chander kant , jeffrey f. naughton",507_1063
0,efficiently instantiating view-objects from remote relational databases,"gio wiederhold , byung suk lee",converting relational to object-oriented databases,joseph fong,1829_1915
0,constructing the next 100 database management systems,"andreas geppert , klaus r. dittrich",the mariposa distributed database management system,jeff sidell,289_1898
0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ),joachim hammer,report on the fourth international conference on flexible query answering systems ( fqas 2000 ),"patrick bosc , amihai motro , gabriella pasi",20_465
0,reminiscences on influential papers,"kenneth a. ross , kyuseok shim , mary f. fernandez",influential papers,ken ross,387_650
0,index nesting - an efficient approach to indexing in object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",exact : an extensible approach to active object-oriented databases,"oscar d &#237; az , arturo jaime",1118_1159
0,mocha : a self-extensible database middleware system for distributed data sources,"manuel rodriguez-martinez , nick roussopoulos",aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"ling liu , calton pu , david buttler , wei han , henrique paques , wei tang",1251_403
0,the design and implementation of a sequence database system,"raghu ramakrishnan , miron livny , praveen seshadri",the aggregate data problem : a system for their definition and management,"m. rafanelli , a. bezenchek , l. tininini",356_1894
0,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz","a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",21_306
0,databases and visualization,daniel a. keim,delaunay : a database visualization system,"isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang",1866_1854
0,closest pair queries in spatial databases,"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos",location-based spatial queries,"jun zhang , manli zhu , dimitris papadias , yufei tao , dik lun lee",557_2055
0,materialized view selection and maintenance using multi-query optimization,"krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan",outerjoin simplification and reordering for query optimization,"c &#233; sar galindo-legaria , arnon rosenthal",2364_1883
0,adaptive algorithms for set containment joins,"hector garcia-molina , sergey melnik",1-safe algorithms for symmetric site configurations,"rune humborstad , maitrayi sabaratnam , svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen",1106_929
0,book review column,karl aberer,book reviews,0,942_2133
0,binding propagation in disjunctive databases,sergio greco,tail recursion elimination in deductive databases,kenneth a. ross,1972_1945
0,krdb ' 98 : the 5th international workshop on knowledge representation meets databases,"alexander borgida , martin staudt , vinay k. chaudhri",report on first international workshop on real-time database systems,"azer bestavros , kwei-jay lin , sang son",598_1873
0,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"xiaoyang sean wang , changzhou wang",parallel algorithms for high-dimensional similarity joins for data mining applications,"john c. shafer , rakesh agrawal",1274_950
0,towards on-line analytical mining in large databases,jiawei han,turbo-charging vertical mining of large databases,"pradeep shenoy , jayant r. haritsa , s. sundarshan , gaurav bhalotia , mayank bawa , devavrat shah",821_94
0,dwms : data warehouse management system,narendra mohan,the araneus web-based management system,"g. mecca , p. atzeni , a. masci , g. sindoni , p. merialdo",420_152
0,editorial,richard t. snodgrass,guest editorial,"amr el abbadi , gunter schlageter , kyu-young whang",2371_2101
0,tracing the lineage of view data in a warehousing environment,"janet l. wiener , yingwei cui , jennifer widom",lineage tracing for general data warehouse transformations,"y. cui , j. widom",2562_2119
0,influence sets based on reverse nearest neighbor queries,"s. muthukrishnan , flip korn",nearest neighbor queries,"nick roussopoulos , stephen kelley , fr &#233; d &#233; ric vincent",1777_1599
0,repositories and object oriented databases,philip a. bernstein,metu object-oriented dbms,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",692_1648
0,groupwise processing of relational queries,"kenneth a. ross , damianos chatziantoniou",congressional samples for approximate answering of group-by queries,"swarup acharya , phillip b. gibbons , viswanath poosala",507_443
0,optimizing multi-feature queries for image databases,"ulrich güntzer , werner kießling , wolf-tilo balke",optimizing queries over multimedia repositories,"surajit chaudhuri , luis gravano",1034_1958
0,static detection of security flaws in object-oriented databases,keishi tajima,description logics for semantic query optimization in object-oriented database systems,"domenico beneventano , sonia bergamaschi , claudio sartori",1985_1236
0,the lyric language : querying constraint objects,"alexander brodsky , yoram kornatzky",themis : a database programming language handling integrity constraints,"v &#233; ronique benzaken , anne doucet",1692_638
1,actiview : adaptive data presentation using supersql,"motomichi toyama , yoko maeda",actiview : adaptive data presentation using supersql,"yoko maeda , motomichi toyama",2309_2179
0,distance-based indexing for high-dimensional metric spaces,"z. meral özsoyoglu , tolga bozkaya",the x-tree : an index structure for high-dimensional data,"stefan berchtold , daniel a. keim , hans-peter kriegel",661_1044
0,efficiently instantiating view-objects from remote relational databases,"gio wiederhold , byung suk lee",efficiently publishing relational data as xml documents,"jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald",1829_879
1,dbsim : a simulation tool for predicting database performance,"craig wong , mark stokrp , mike lefler",dbsim : a simulation tool for predicting database performance,"mark lefler , mark stokrp , craig wong",1049_242
0,report on the 8th international workshop on knowledge representation meets databases ( krdb ),"dan suciu , maurizio lenzerini , daniele nardi , werner nutt",report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,opher etzion,156_480
0,on supporting containment queries in relational database management systems,"guy m. lohman , david j. dewitt , qiong luo , jeffrey f. naughton , chun zhang",querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",690_1046
0,efficient schemes for managing multiversionxml documents,"shu-yao chien , carlo zaniolo , vassilis j. tsotras",efficient filtering of xml documents for selective dissemination of information,"mehmet altinel , michael j. franklin",2125_883
0,data extraction and transformation for the data warehouse,cass squire,data warehouse configuration,"dimitri theodoratos , timos k. sellis",2386_1073
0,weaving relations for cache performance,"mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis",dbsim : a simulation tool for predicting database performance,"mark lefler , mark stokrp , craig wong",1232_242
0,trex : dtd-conforming xml to xml transformations,"xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng",composing xsl transformations with xml publishing views,"chengkai li , philip bohannon , p. p. s. narayan",1721_2049
0,reminiscences on influential papers,"kenneth a. ross , kyuseok shim , mary f. fernandez",reminiscences in influential papers,richard snodgrass,387_334
0,"watermarking relational data : framework , algorithms and analysis","peter j. haas , rakesh agrawal , jerry kiernan",a system for watermarking relational databases,"rakesh agrawal , peter j. haas , jerry kiernan",665_2019
0,report on the fourth international conference on flexible query answering systems,"gabriella pasi , amihai motro , patrick bosc",report on fqas 2002 : fifth international conference on flexible query answering systems,"amihai motro , troels andreasen",1469_2154
1,why decision support fails and how to fix it,"kevin strehlo , ralph kimball",why decision support fails and how to fix it,"ralph kimball , kevin strehlo",40_1558
0,data extraction and transformation for the data warehouse,cass squire,data warehousing and olap for decision support,"surajit chaudhuri , umeshwar dayal",2386_1848
0,workshop report : the first international workshop on active and real-time database systems ( artdb-95 ),"mikael berndtsson , jörgen hansson",report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems,opher etzion,1103_480
0,reminiscences on influential papers,"kaladhar voruganti , renée j. miller , kenneth a. ross , flip korn",influential papers,ken ross,2601_526
0,discover : keyword search in relational databases,"vagelis hristidis , yannis papakonstantinou",data page layouts for relational databases on deep memory hierarchies,"anastassia ailamaki , david j. dewitt , mark d. hill",1610_919
0,constructing the next 100 database management systems,"andreas geppert , klaus r. dittrich",data grid management systems,"arun jagatheesan , arcot rajasekar",289_2250
1,views in a large-scale xml repository,"vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo",views in a large-scale xml repository,"vincent aguilera , sophie cluet , tova milo , pierangelo veltri , dan vodislav",1792_938
1,automata theory for xml researchers,frank neven,automata theory for xml researchers,frank neven,1328_517
0,infomaster : an information integration system,"arthur m. keller , michael r. genesereth , oliver m. duschka",environmental information systems,oliver g &#252; nther,2546_1909
0,implementation of two semantic query optimization techniques in db2 universal database,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng",investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",1439_2247
0,reminiscences on influential papers,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",reminiscences on influential papers,kenneth a. ross,575_927
0,adapting materialized views after redefinitions,"ashish gupta , inderpal singh mumick , kenneth a. ross",rainbow : multi-xquery optimization using materialized xml views,"xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner",1910_2016
0,editor 's notes,jennifer widom,editorial,richard snodgrass,201_342
0,automated resolution of semantic heterogeneity in multidatabases,"a. r. hurson , simin h. pakzad , m. w. bright",semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",703_2227
0,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",metu object-oriented dbms,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",267_1648
0,a query language for a web-site management system,"dan suciu , daniela florescu , alon y. levy , mary f. fernandez",catching the boat with strudel : experiences with a web-site management system,"mary fern &#225; ndez , daniela florescu , jaewoo kang , alon levy , dan suciu",22_189
0,applying update streams in a soft real-time database system,"brad adelberg , hector garcia-molina , ben kao",index concurrency control in firm real-time database systems,"brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",972_1459
0,acm multimedia '94 conference workshop on multimedia database management systems,"p. bruce berra , bhavani m. thuraisingham , kingsley c. nwosu",a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",1450_1454
0,aurora : a data stream management system,"nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",the mariposa distributed database management system,jeff sidell,11_1898
0,a logical foundation for deductive object-oriented databases,"mengchi liu , tok wang ling , gillian dobbie",a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",2302_1317
1,zoo : a desktop experiment management environment,"miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta",zoo : a desktop experiment management environment,"yannis e. ioannidis , miron livny , s. gupta , nagavamsi ponnekanti",413_1129
0,the database and information system research group at the university of ulm,"peter dadam , wolfgang klas",database research at the university of illinois at urbana-champaign,"m. winslett , k. chang , a. doan , j. han , c. zhai , y. zhou",2091_562
0,online scaling in a highly available database,"svein erik bratsberg , rune humborstad",a scalable and highly available networked database architecture,"roger bamford , rafiul ahad , angelo pruscino",334_816
0,the mlpq/gis constraint database system,"yuguo liu , yiming li , pradip kanjamala , rui chen , yonghui wang , peter z. revesz",safe query languages for constraint databases,peter z. revesz,1624_232
0,combining multi-visual features for efficient indexing in a large image database,"quan z. sheng , anne h. h. ngu , ron lei , du q. huynh",an efficient algorithm for mining association rules in large databases,"ashoka savasere , edward omiecinski , shamkant b. navathe",1560_1471
0,index configuration in object-oriented databases,elisa bertino,a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",644_1317
0,databases for networks,h. v. jagadish,an experimental object-based sharing system for networked databases,"doug fang , shahram ghandeharizadeh , dennis mcleod",1989_1215
0,reasoning on regular path queries,"giuseppe de giacomo , moshe y. vardi , maurizio lenzerini , diego calvanese",xpath queries on streaming data,"feng peng , sudarshan s. chawathe",1894_2054
0,optimizing queries with universal quantification in object-oriented and object-relational databases,"guido moerkotte , jens claußen , klaus peithner , alfons kemper",versioning and configuration management in an object-oriented data model,edward sciore,542_582
1,"active storage hierarchy , database systems and applications - socratic exegesis","joel h. saltz , john burgess , felipe cariño , william o'connell","active storage hierarchy , database systems and applications - socratic exegesis","felipe cari &#241; o , william o'connell , john burgess , joel h. saltz",1669_839
0,coalescing in temporal databases,"michael d. soo , richard t. snodgrass , michael h. böhlen",semantic assumptions and query evaluation in temporal databases,"claudio bettini , x. sean wang , elisa bertino , sushil jajodia",1729_1512
1,qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",qc-trees : an efficient summary structure for semantic olap,"laks v. s. lakshmanan , jian pei , yan zhao",871_2081
0,query decomposition and view maintenance for query languages for unstructured data,dan suciu,safe query languages for constraint databases,peter z. revesz,1507_232
0,minimal probing : supporting expensive predicates for top-k queries,"kevin chen-chuan chang , seung-won hwang",optimizing disjunctive queries with expensive predicates,"a. kemper , g. moerkotte , k. peithner , m. steinbrunn",719_1632
1,report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"nandit soparkar , krithi ramamritham",report on dart ' 96 : databases : active and real-time ( concepts meet practice ),"krithi ramamritham , nandit soparkar",8_1759
1,optimization of run-time management of data intensive web-sites,"khaled yagoub , dan suciu , alon y. levy , daniela florescu",optimization of run-time management of data intensive web-sites,"daniela florescu , alon y. levy , dan suciu , khaled yagoub",487_801
0,efficient testing of high performance transaction processing systems,"d. wildfogel , ramana yerneni",enterprise transaction processing on windows nt,greg hope,963_1495
0,warehousing workflow data : challenges and opportunities,"umeshwar dayal , ming-chien shan , angela bonifati , fabio casati",mining system audit data : opportunities and challenges,"wenke lee , wei fan",736_557
0,optimizing the secure evaluation of twig queries,"sihem amer-yahia , divesh srivastava , sungran cho , laks v. s. lakshmanan",optimizing multi-feature queries for image databases,"ulrich g &#252; ntzer , wolf-tilo balke , werner kie &#223; ling",1531_1371
1,real business processing meets the web,james chong,real business processing meets the web,james chong,1749_160
1,starts : stanford proposal for internet meta-searching ( experience paper ),"hector garcia-molina , luis gravano , kevin chen-chuan chang , andreas paepcke",starts : stanford proposal for internet meta-searching,"luis gravano , chen-chuan k. chang , h &#233; ctor garc &#237; a-molina , andreas paepcke",157_1822
0,querying atsql databases with temporal logic,"jan chomicki , david toman , michael h. böhlen",logical design for temporal databases with multiple granularities,"x. sean wang , claudio bettini , alexander brodsky , sushil jajodia",1164_1925
0,query caching and optimization in distributed mediator systems,"sibel adali , yannis papakonstantinou , k. selçuk candan , v. s. subrahmanian",distributed processing over stand-alone systems and applications,"gustavo alonso , claus hagen , hans-j &#246; rg schek , markus tresch",2095_948
0,a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases,"bharat k. bhargava , evaggelia pitoura",spatial and temporal content-based access to hypervideo databases,"haitao jiang , ahmed k. elmagarmid",414_1169
0,pixel-oriented database visualizations,daniel a. keim,delaunay : a database visualization system,"isabel f. cruz , m. averbuch , wendy t. lucas , melissa radzyminski , kirby zhang",1105_1854
